Index,CountryOfInterest,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,CasesPerMil,DeathsPerMil,TotalTests,TestsPerMil,Population,Continent,,,,,,,
28,Lesotho,91,,11,80,42,,"4,331","2,021","2,142,552",Africa,,,,,,,
114,Liechtenstein,84,1,81,2,"2,203",26,900,"23,603","38,130",Europe,,,,,,,
47,Seychelles,81,,11,70,824,,,,"98,358",Africa,,,,,,,
65,Bhutan,80,,55,25,104,,"26,128","33,856","771,747",Asia,,,,,,,
175,Sint Maarten,78,15,63,0,"1,819",350,523,"12,196","42,884",NorthAmerica,,,,,,,
7,Antigua and Barbuda,70,3,23,44,715,31,796,"8,127","97,943",NorthAmerica,,,,,,,
72,French Polynesia,62,,60,2,221,,"4,649","16,548","280,939",Oceania,,,,,,,
23,Gambia,61,3,27,31,25,1,"3,162","1,308","2,417,167",Africa,,,,,,,
199,Turks and Caicos,55,2,11,42,"1,420",52,823,"21,252","38,725",NorthAmerica,,,,,,,
84,Macao,46,,45,1,71,,"4,071","6,268","649,468",Asia,,,,,,,
165,Saint Martin,43,3,37,3,"1,112",78,851,"22,004","38,675",NorthAmerica,,,,,,,
20,Belize,30,2,19,9,75,5,"2,459","6,183","397,719",NorthAmerica,,,,,,,
184,St. Vincent Grenadines,29,,29,0,261,,926,"8,346","110,947",NorthAmerica,,,,,,,
194,Timor-Leste,24,,24,0,18,,"1,568","1,189","1,318,751",Asia,,,,,,,
81,Grenada,23,,23,0,204,,"5,465","48,564","112,533",NorthAmerica,,,,,,,
50,Curaçao,23,1,19,3,140,6,"1,080","6,581","164,106",NorthAmerica,,,,,,,
164,Saint Lucia,22,,19,3,120,,"1,919","10,450","183,643",NorthAmerica,,,,,,,
140,New Caledonia,21,,21,0,74,,"8,663","30,338","285,545",Oceania,,,,,,,
68,Fiji,21,,18,3,23,,"4,000","4,461","896,563",Oceania,,,,,,,
82,Lao PDR,19,,19,0,3,,"18,729","2,574","7,277,093",Asia,,,,,,,
55,Dominica,18,,18,0,250,,623,"8,654","71,990",NorthAmerica,,,,,,,
