Index,CountryOfInterest,TotalCases,TotalDeaths,CasesPerMil,DeathsPerMil,TotalTests,TestsPerMil,Population,Continent,RandomX,RandomY,,,,,,,,,,,,,,
37,Oman,"50,207",233,"9,830",46,"221,181","43,303","5,107,767",Asia,20,130,,,,,,,,,,,,,,
12,Pakistan,"237,489","4,922","1,075",22,"1,467,104","6,640","220,943,702",Asia,96,174,,,,,,,,,,,,,,
91,Palestine,"5,029",19,986,4,"122,555","24,018","5,102,594",Asia,197,40,,,,,,,,,,,,,,
41,Panama,"40,291",799,"9,336",185,"150,542","34,882","4,315,710",NorthAmerica,152,131,,,,,,,,,,,,,,
208,Papua New Guinea,11,0,1,0,"7,147",799,"8,949,096",Oceania,130,6,,,,,,,,,,,,,,
106,Paraguay,"2,502",20,351,3,"81,441","11,416","7,133,910",SouthAmerica,2,202,,,,,,,,,,,,,,
5,Peru,"309,278","10,952","9,378",332,"1,821,328","55,227","32,978,661",SouthAmerica,26,10,,,,,148,San Marino,698,42,"20,571","1,238","5,729","168,838","33,932",Europe
36,Philippines,"50,359","1,314",459,12,"885,882","8,083","109,603,158",Asia,69,5,,,,,,,,,,,,,,
43,Poland,"36,689","1,542",969,41,"1,676,364","44,295","37,845,686",Europe,3,184,,,,,,,,,,,,,,
39,Portugal,"44,416","1,629","4,356",160,"1,271,425","124,698","10,196,020",Europe,149,147,,,,,,,,,,,,,,
21,Qatar,"101,553",138,"36,168",49,"396,199","141,106","2,807,805",Asia,45,83,,,,,,,,,,,,,,
154,Réunion,551,3,615,3,"35,419","39,555","895,429",Africa,113,114,,,,,,,,,,,,,,
48,Romania,"30,175","1,817","1,569",94,"796,484","41,409","19,234,485",Europe,100,147,,,,,,,,,,,,,,
4,Russia,"700,792","10,667","4,802",73,"21,790,705","149,317","145,935,812",Europe,174,161,,,,,,,,,,,,,,
130,Rwanda,"1,172",3,90,0.2,"166,255","12,833","12,955,149",Africa,215,39,,,,,,,,,,,,,,
111,S. Sudan,"2,021",38,181,3,"10,824",967,"11,195,818",Africa,1,176,,,,,,,,,,,,,,
147,Sao Tome-Principe,724,13,"3,303",59,"1,873","8,544","219,210",Africa,156,91,,,,,,,,,,,,,,
13,Saudi Arabia,"220,144","2,059","6,322",59,"2,071,823","59,498","34,821,448",Asia,165,38,,,,,,,,,,,,,,
78,Senegal,"7,657",141,457,8,"86,891","5,188","16,747,585",Africa,191,184,,,,,,,,,,,,,,
59,Serbia,"17,076",341,"1,955",39,"464,171","53,130","8,736,536",Europe,12,70,,,,,,,,,,,,,,
184,Seychelles,81,0,824,0,0,0,"98,358",Africa,192,114,,,,,,,,,,,,,,
122,Sierra Leone,"1,572",63,197,8,0,0,"7,978,847",Africa,144,21,,,,,,,,,,,,,,
38,Singapore,"45,298",26,"7,742",4,"757,746","129,503","5,851,166",Asia,119,168,,,,,,,,,,,,,,
186,Sint Maarten,78,15,"1,819",350,523,"12,196","42,884",NorthAmerica,22,68,,,,,,,,,,,,,,
119,Slovakia,"1,798",28,329,5,"221,494","40,569","5,459,699",Europe,112,5,,,,,,,,,,,,,,
121,Slovenia,"1,763",111,848,53,"111,203","53,490","2,078,944",Europe,201,113,,,,,,,,,,,,,,
103,Somalia,"3,015",92,190,6,0,0,"15,896,528",Africa,88,33,,,,,,,,,,,,,,
14,South Africa,"215,855","3,502","3,639",59,"1,907,532","32,156","59,320,279",Africa,54,143,,,,,,,,,,,,,,
64,South Korea,"13,244",285,258,6,"1,359,735","26,521","51,270,128",Asia,182,119,,,,,,,,,,,,,,
7,Spain,"299,210","28,392","6,400",607,"5,734,599","122,652","46,755,169",Europe,9,213,,,,,,,,,,,,,,
110,Sri Lanka,"2,084",11,97,0.5,"114,765","5,359","21,415,020",Asia,163,29,,,,,,,,,,,,,,
212,St. Barth,6,0,607,0,507,"51,326","9,878",NorthAmerica,26,76,,,,,,,,,,,,,,
203,St. Kitts - Nevis,16,0,301,0,493,"9,266","53,206",NorthAmerica,46,24,,,,,,,,,,,,,,
198,St. Lucia,22,0,120,0,"1,919","10,450","183,643",NorthAmerica,80,47,,,,,,,,,,,,,,
192,St. Martin,43,3,"1,112",78,851,"22,004","38,675",NorthAmerica,191,33,,,,,,,,,,,,,,
214,St. Pierre Miquelon,1,0,173,0,0,0,"5,793",NorthAmerica,167,40,,,,,,,,,,,,,,
194,St. Vincent Grenadines,29,0,261,0,926,"8,346","110,947",NorthAmerica,182,0,,,,,,,,,,,,,,
69,Sudan,"9,997",622,228,14,401,9,"43,859,395",Africa,69,85,,,,,,,,,,,,,,
151,Suriname,634,15,"1,081",26,"1,244","2,120","586,723",SouthAmerica,197,209,,,,,,,,,,,,,,
25,Sweden,"73,344","5,447","7,261",539,"600,019","59,405","10,100,443",Europe,19,134,,,,,,,,,,,,,,
46,Switzerland,"32,498","1,966","3,754",227,"652,413","75,373","8,655,772",Europe,128,50,,,,,,,,,,,,,,
158,Syria,372,14,21,0.8,0,0,"17,504,652",Asia,62,138,,,,,,,,,,,,,,
156,Taiwan,449,7,19,0.3,"77,876","3,270","23,817,676",Asia,123,46,,,,,,,,,,,,,,
83,Tajikistan,"6,364",54,667,6,0,0,"9,539,867",Asia,45,20,,,,,,,,,,,,,,
155,Tanzania,509,21,9,0.4,0,0,"59,746,364",Africa,59,10,,,,,,,,,,,,,,
100,Thailand,"3,197",58,46,0.8,"603,657","8,648","69,803,578",Asia,156,168,,,,,,,,,,,,,,
195,Timor-Leste,24,0,18,0,"1,568","1,189","1,318,751",Asia,175,125,,,,,,,,,,,,,,
149,Togo,689,15,83,2,"33,332","4,025","8,280,636",Africa,163,17,,,,,,,,,,,,,,
177,Trinidad and Tobago,133,8,95,6,"5,648","4,035","1,399,580",NorthAmerica,85,106,,,,,,,,,,,,,,
127,Tunisia,"1,205",50,102,4,"73,610","6,227","11,820,670",Africa,177,102,,,,,,,,,,,,,,
15,Turkey,"207,897","5,260","2,465",62,"3,733,218","44,257","84,353,985",Asia,168,59,,,,,,,,,,,,,,
217,Turkmenistan,0,0,0,0,0,0,"6,031,187",Asia,226,204,,,,,,,,,,,,,,
190,Turks and Caicos,55,2,"1,420",52,823,"21,252","38,725",NorthAmerica,55,37,,,,,,,,,,,,,,
138,Uganda,977,0,21,,"216,311","4,728","45,748,875",Africa,9,160,,,,,,,,,,,,,,
35,Ukraine,"50,414","1,306","1,153",30,"745,313","17,045","43,727,281",Europe,17,20,,,,,,,,,,,,,,
31,United Arab Emirates,"53,045",327,"5,362",33,"3,720,000","376,051","9,892,286",Asia,118,9,,,,,,,,,,,,,,
8,United Kingdom,"286,979","44,517","4,227",656,"11,041,203","162,627","67,892,858",Europe,180,59,,,,,,,,,,,,,,
1,United States of America,"3,100,272","134,055","9,365",405,"38,832,363","117,304","331,039,330",NorthAmerica,50,31,,,,,,,,,,,,,,
139,Uruguay,965,29,278,8,"73,609","21,189","3,473,972",SouthAmerica,186,115,,,,,,,,,,,,,,
68,Uzbekistan,"10,982",42,328,1,"1,121,236","33,493","33,476,252",Asia,194,47,,,,,,,,,,,,,,
206,Vatican City,12,0,"14,981",0,0,0,801,Europe,212,42,,,,,,,,,,,,,,
76,Venezuela,"7,693",71,271,2,"1,336,021","46,987","28,434,075",SouthAmerica,136,126,,,,,,,,,,,,,,
159,Vietnam,369,0,4,0,"275,000","2,825","97,353,756",Asia,143,118,,,,,,,,,,,,,,
209,W. Sahara,10,1,17,2,0,0,"597,475",Africa,103,184,,,,,,,,,,,,,,
126,Yemen,"1,297",348,43,12,120,4,"29,832,928",Asia,183,15,,,,,,,,,,,,,,
114,Zambia,"1,895",42,103,2,"56,825","3,090","18,387,764",Africa,5,77,,,,,,,,,,,,,,
145,Zimbabwe,787,9,53,0.6,"81,335","5,471","14,866,061",Africa,100,68,,,,,,,,,,,,,,
